game_id,season,week,kickoff,margin_prediction,margin_actual,total_prediction,total_actual,margin_lower,margin_upper,margin_covered,total_lower,total_upper,total_covered
2022_18_KC_LV,2022,18,2023-01-07T16:30-05:00,-9.177964440268811,-18.0,49.733333333333334,44.0,-26.30789286549215,7.95196398495453,True,31.483333333333334,67.98333333333333,True
2022_18_TEN_JAX,2022,18,2023-01-07T20:15-05:00,7.418706841353986,4.0,43.326797385620914,36.0,-9.711221583869355,24.548635266577328,True,25.076797385620914,61.576797385620914,True
2022_18_BAL_CIN,2022,18,2023-01-08T13:00-05:00,9.979223812798208,11.0,46.9593837535014,43.0,-7.150704612425132,27.10915223802155,True,28.7093837535014,65.2093837535014,True
2022_18_CAR_NO,2022,18,2023-01-08T13:00-05:00,3.310541814872897,-3.0,41.38235294117647,17.0,-13.819386610350444,20.44047024009624,True,23.13235294117647,59.63235294117647,False
2022_18_CLE_PIT,2022,18,2023-01-08T13:00-05:00,0.47622888718477596,14.0,43.509803921568626,42.0,-16.653699538038566,17.606157312408115,True,25.259803921568626,61.759803921568626,True
2022_18_HOU_IND,2022,18,2023-01-08T13:00-05:00,1.4429064543220291,-1.0,45.529411764705884,63.0,-15.687021970901311,18.57283487954537,True,27.279411764705884,63.779411764705884,True
2022_18_MIN_CHI,2022,18,2023-01-08T13:00-05:00,-7.584633567839526,-16.0,46.14705882352941,42.0,-24.714561993062865,9.545294857383816,True,27.897058823529413,64.39705882352942,True
2022_18_NE_BUF,2022,18,2023-01-08T13:00-05:00,8.61447648110193,12.0,47.08040935672514,58.0,-8.515451944121411,25.744404906325272,True,28.83040935672514,65.33040935672514,True
2022_18_NYJ_MIA,2022,18,2023-01-08T13:00-05:00,2.3359095745059073,5.0,44.94117647058823,17.0,-14.794018850717434,19.46583799972925,True,26.691176470588232,63.19117647058823,False
2022_18_TB_ATL,2022,18,2023-01-08T13:00-05:00,0.11932257580270167,13.0,48.153250773993804,47.0,-17.01060584942064,17.249251001026042,True,29.903250773993804,66.4032507739938,True
2022_18_ARI_SF,2022,18,2023-01-08T16:25-05:00,11.040979393779761,25.0,46.18888888888889,51.0,-6.08894903144358,28.1709078190031,True,27.93888888888889,64.4388888888889,True
2022_18_DAL_WAS,2022,18,2023-01-08T16:25-05:00,-10.156781220120639,20.0,48.39542483660131,32.0,-27.28670964534398,6.973147205102702,False,30.145424836601308,66.64542483660131,True
2022_18_LAC_DEN,2022,18,2023-01-08T16:25-05:00,-4.642145807986704,3.0,46.76470588235294,59.0,-21.772074233210045,12.487782617236636,True,28.514705882352942,65.01470588235294,True
2022_18_LA_SEA,2022,18,2023-01-08T16:25-05:00,4.353278700454949,3.0,46.52521008403362,35.0,-12.776649724768392,21.48320712567829,True,28.275210084033617,64.77521008403362,True
2022_18_NYG_PHI,2022,18,2023-01-08T16:25-05:00,9.283880867614112,6.0,44.12908496732026,38.0,-7.846047557609229,26.413809292837453,True,25.87908496732026,62.37908496732026,True
2022_18_DET_GB,2022,18,2023-01-08T20:20-05:00,4.644191634362588,-4.0,46.73856209150327,36.0,-12.485736790860752,21.77412005958593,True,28.48856209150327,64.98856209150327,True
2023_01_DET_KC,2023,1,2023-09-07T20:20-04:00,7.013785946658539,-1.0,51.58235294117647,41.0,-9.677546608544406,23.705118501861485,True,33.45350140056022,69.71120448179272,True
2023_01_ARI_WAS,2023,1,2023-09-10T13:00-04:00,2.588998384131963,4.0,42.73529411764706,36.0,-14.102334171070982,19.280330939334906,True,24.606442577030812,60.864145658263304,True
2023_01_CAR_ATL,2023,1,2023-09-10T13:00-04:00,3.6818063217015844,14.0,43.294117647058826,34.0,-13.00952623350136,20.373138876904527,True,25.16526610644258,61.42296918767507,True
2023_01_CIN_CLE,2023,1,2023-09-10T13:00-04:00,-4.580884158822325,21.0,44.481424148606806,27.0,-21.27221671402527,12.110448396380619,False,26.35257260799056,62.61027568922305,True
2023_01_HOU_BAL,2023,1,2023-09-10T13:00-04:00,7.7569235368122875,16.0,40.4640522875817,34.0,-8.934409018390657,24.44825609201523,True,22.335200746965455,58.59290382819795,True
2023_01_JAX_IND,2023,1,2023-09-10T13:00-04:00,-6.1161526223279035,-10.0,43.743034055727556,52.0,-22.807485177530847,10.575179932875042,True,25.61418251511131,61.8718855963438,True
2023_01_SF_PIT,2023,1,2023-09-10T13:00-04:00,-0.809992447562265,-23.0,40.73529411764706,37.0,-17.50132500276521,15.881340107640678,False,22.606442577030812,58.864145658263304,True
2023_01_TB_MIN,2023,1,2023-09-10T13:00-04:00,1.4047380215494196,-3.0,45.05555555555556,37.0,-15.286594533653524,18.096070576752364,True,26.92670401493931,63.1844070961718,True
2023_01_TEN_NO,2023,1,2023-09-10T13:00-04:00,2.3677803444597822,1.0,39.17647058823529,31.0,-14.323552210743163,19.059112899662725,True,21.047619047619044,57.305322128851536,True
2023_01_GB_CHI,2023,1,2023-09-10T16:25-04:00,-4.31802858411913,-18.0,45.0,58.0,-21.009361139322074,12.373303971083814,True,26.871148459383754,63.128851540616246,True
2023_01_LA_SEA,2023,1,2023-09-10T16:25-04:00,2.04021076741523,-17.0,44.54575163398693,43.0,-14.651121787787714,18.731543322618172,False,26.416900093370685,62.67460317460318,True
2023_01_LV_DEN,2023,1,2023-09-10T16:25-04:00,-0.24622423360547918,-1.0,42.911764705882355,33.0,-16.937556788808422,16.445108321597466,True,24.78291316526611,61.0406162464986,True
2023_01_MIA_LAC,2023,1,2023-09-10T16:25-04:00,3.010646778904002,-2.0,47.13888888888889,70.0,-13.680685776298942,19.701979334106944,True,29.010037348272647,65.26774042950514,False
2023_01_PHI_NE,2023,1,2023-09-10T16:25-04:00,-3.261401813369795,-5.0,45.33676470588235,45.0,-19.952734368572738,13.42993074183315,True,27.207913165266106,63.4656162464986,True
2023_01_DAL_NYG,2023,1,2023-09-10T20:20-04:00,-1.5492788358596596,-40.0,45.28947368421053,40.0,-18.240611391062604,15.142053719343284,False,27.16062214359428,63.41832522482677,True
2023_01_BUF_NYJ,2023,1,2023-09-11T20:15-04:00,-3.3818096052107296,6.0,41.416666666666664,38.0,-20.073142160413674,13.309522949992214,True,23.28781512605042,59.54551820728291,True
2023_02_MIN_PHI,2023,2,2023-09-14T20:15-04:00,7.941984128780669,6.0,49.59166666666667,62.0,-8.749348426422275,24.633316683983615,True,31.462815126050423,67.72051820728291,True
2023_02_BAL_CIN,2023,2,2023-09-17T13:00-04:00,4.965812964846667,-3.0,42.26900584795322,51.0,-11.725519590356278,21.65714552004961,True,24.14015430733697,60.39785738856946,True
2023_02_CHI_TB,2023,2,2023-09-17T13:00-04:00,8.674906906984393,10.0,43.09477124183007,44.0,-8.01642564821855,25.366239462187337,True,24.96591970121382,61.22362278244631,True
2023_02_GB_ATL,2023,2,2023-09-17T13:00-04:00,-1.2330975294263287,1.0,43.88235294117647,49.0,-17.92443008462927,15.458235025776615,True,25.753501400560225,62.01120448179272,True
2023_02_IND_HOU,2023,2,2023-09-17T13:00-04:00,0.9146016783173475,-11.0,41.911764705882355,51.0,-15.776730876885596,17.60593423352029,True,23.78291316526611,60.0406162464986,True
2023_02_KC_JAX,2023,2,2023-09-17T13:00-04:00,-3.2574095936111735,-8.0,48.38421052631579,26.0,-19.94874214881412,13.43392296159177,True,30.255358985699544,66.51306206693204,False
2023_02_LAC_TEN,2023,2,2023-09-17T13:00-04:00,-2.3978824349995063,3.0,42.54575163398693,51.0,-19.08921499020245,14.293450120203438,True,24.416900093370685,60.67460317460318,True
2023_02_LV_BUF,2023,2,2023-09-17T13:00-04:00,4.059167050059864,28.0,47.32843137254902,48.0,-12.63216550514308,20.75049960526281,False,29.199579831932773,65.45728291316527,True
2023_02_SEA_DET,2023,2,2023-09-17T13:00-04:00,5.727602854175619,-6.0,50.10457516339869,68.0,-10.963729701027326,22.418935409378562,True,31.975723622782446,68.23342670401493,True
2023_02_NYG_ARI,2023,2,2023-09-17T16:05-04:00,-0.5376809619094032,-3.0,45.205882352941174,59.0,-17.229013517112346,16.153651593293542,True,27.077030812324928,63.33473389355742,True
2023_02_SF_LA,2023,2,2023-09-17T16:05-04:00,-2.7702956206447755,-7.0,41.82352941176471,53.0,-19.46162817584772,13.921036934558169,True,23.694677871148464,59.952380952380956,True
2023_02_NYJ_DAL,2023,2,2023-09-17T16:25-04:00,8.98239531375441,20.0,41.28947368421053,40.0,-7.708937241448535,25.673727868957354,True,23.16062214359428,59.41832522482677,True
